date,ticker,open,high,low,close,volume
2025-05-26,BBRI,4350.000,4350.000,4260.000,4320.000,149418600
2025-05-27,BBRI,4320.000,4370.000,4280.000,4370.000,180028000
2025-05-28,BBRI,4360.000,4450.000,4320.000,4450.000,466133500
2025-06-02,BBRI,4360.000,4390.000,4200.000,4200.000,389541100
2025-06-03,BBRI,4210.000,4230.000,4120.000,4200.000,277902300
2025-06-04,BBRI,4230.000,4230.000,4080.000,4080.000,279755300
2025-06-05,BBRI,4110.000,4140.000,4050.000,4100.000,230129500
2025-06-10,BBRI,4100.000,4160.000,4100.000,4150.000,179827500
2025-06-11,BBRI,4130.000,4140.000,4060.000,4070.000,196558700
2025-06-12,BBRI,4070.000,4100.000,4060.000,4070.000,113850500
2025-06-13,BBRI,4020.000,4050.000,3980.000,4000.000,283826000
2025-06-16,BBRI,3980.000,4010.000,3960.000,3990.000,155450700
2025-06-17,BBRI,4010.000,4030.000,3960.000,3960.000,125769400
2025-06-18,BBRI,3950.000,3960.000,3900.000,3940.000,140882100
2025-06-19,BBRI,3900.000,3920.000,3800.000,3800.000,355413000
2025-06-20,BBRI,3740.000,3840.000,3740.000,3790.000,516177900
2025-06-23,BBRI,3730.000,3750.000,3660.000,3720.000,222067700
2025-06-24,BBRI,3820.000,3900.000,3770.000,3780.000,281594300
2025-06-25,BBRI,3830.000,3830.000,3730.000,3760.000,164257700
2025-06-26,BBRI,3780.000,3830.000,3750.000,3830.000,171427000
2025-06-30,BBRI,3840.000,3840.000,3730.000,3740.000,271933200
2025-07-01,BBRI,3780.000,3790.000,3670.000,3700.000,212369000
2025-07-02,BBRI,3650.000,3700.000,3640.000,3680.000,220273500
2025-07-03,BBRI,3710.000,3730.000,3680.000,3680.000,119674300
2025-07-04,BBRI,3680.000,3710.000,3650.000,3670.000,91141200
2025-07-07,BBRI,3670.000,3700.000,3650.000,3700.000,78783800
2025-07-08,BBRI,3690.000,3700.000,3650.000,3670.000,115551200
2025-07-09,BBRI,3650.000,3700.000,3650.000,3680.000,92437900
2025-07-10,BBRI,3690.000,3880.000,3680.000,3870.000,290117200
2025-07-11,BBRI,3920.000,3920.000,3870.000,3880.000,255634700
2025-07-14,BBRI,3880.000,3890.000,3750.000,3780.000,167151400
2025-07-15,BBRI,3800.000,3880.000,3780.000,3880.000,183209300
2025-07-16,BBRI,3950.000,3960.000,3880.000,3880.000,241966800
2025-07-17,BBRI,3930.000,3930.000,3880.000,3890.000,111359500
2025-07-18,BBRI,3910.000,3940.000,3860.000,3860.000,111030000
2025-07-21,BBRI,3890.000,3900.000,3830.000,3830.000,89765800
2025-07-22,BBRI,3860.000,3880.000,3830.000,3840.000,84902800
2025-07-23,BBRI,3840.000,3860.000,3790.000,3800.000,132305000
2025-07-24,BBRI,3830.000,3950.000,3820.000,3950.000,206654200
2025-07-25,BBRI,3950.000,3950.000,3870.000,3880.000,86263700
2025-07-28,BBRI,3940.000,3950.000,3920.000,3940.000,94898300
2025-07-29,BBRI,3930.000,3930.000,3900.000,3920.000,98887100
2025-07-30,BBRI,3910.000,3910.000,3770.000,3780.000,206358500
2025-07-31,BBRI,3780.000,3790.000,3700.000,3710.000,163371700
2025-08-01,BBRI,3800.000,3800.000,3740.000,3740.000,134100500
2025-08-04,BBRI,3720.000,3740.000,3690.000,3710.000,104446300
2025-08-05,BBRI,3700.000,3790.000,3700.000,3740.000,184822600
2025-08-06,BBRI,3770.000,3780.000,3710.000,3710.000,100168200
2025-08-07,BBRI,3730.000,3750.000,3700.000,3710.000,92746000
2025-08-08,BBRI,3710.000,3730.000,3700.000,3700.000,133180100
2025-08-11,BBRI,3720.000,3810.000,3720.000,3810.000,143167900
2025-08-12,BBRI,3860.000,4050.000,3830.000,4050.000,404797800
2025-08-13,BBRI,4060.000,4100.000,3990.000,4080.000,292104000
2025-08-14,BBRI,4080.000,4100.000,4040.000,4060.000,164408100
2025-08-15,BBRI,4100.000,4150.000,4070.000,4120.000,269255400
2025-08-19,BBRI,4090.000,4100.000,4010.000,4040.000,208409700
2025-08-20,BBRI,4050.000,4150.000,4050.000,4150.000,173260400
2025-08-21,BBRI,4160.000,4170.000,4090.000,4150.000,112477700
2025-08-22,BBRI,4170.000,4170.000,4100.000,4100.000,71971500
2025-08-25,BBRI,4180.000,4270.000,4170.000,4210.000,195322200
2025-08-26,BBRI,4220.000,4220.000,4170.000,4170.000,267465600
2025-08-27,BBRI,4130.000,4150.000,4070.000,4130.000,123874000
2025-08-28,BBRI,4130.000,4150.000,4110.000,4140.000,60838200
2025-08-29,BBRI,4100.000,4120.000,4020.000,4050.000,217276600
2025-09-01,BBRI,3930.000,4010.000,3860.000,3980.000,234206100
2025-09-02,BBRI,3980.000,4050.000,3960.000,3960.000,111856000
2025-09-03,BBRI,4020.000,4030.000,3950.000,4030.000,112507500
2025-09-04,BBRI,3980.000,4010.000,3960.000,4000.000,87402700
2025-09-08,BBRI,4070.000,4070.000,3890.000,3900.000,143993900
2025-09-09,BBRI,3870.000,3890.000,3750.000,3790.000,327167200
2025-09-10,BBRI,3820.000,3890.000,3820.000,3880.000,118789700
2025-09-11,BBRI,4000.000,4120.000,3980.000,4080.000,281910400
2025-09-12,BBRI,4180.000,4190.000,4110.000,4180.000,235383800
2025-09-15,BBRI,4200.000,4220.000,4120.000,4140.000,157482000
2025-09-16,BBRI,4160.000,4170.000,4080.000,4130.000,167511900
2025-09-17,BBRI,4160.000,4220.000,4120.000,4220.000,245154800
2025-09-18,BBRI,4270.000,4270.000,4210.000,4250.000,332670300
2025-09-19,BBRI,4230.000,4250.000,4180.000,4250.000,211373200
2025-09-22,BBRI,4250.000,4250.000,4110.000,4160.000,157592800
2025-09-23,BBRI,4120.000,4170.000,4110.000,4140.000,110771700
2025-09-24,BBRI,4140.000,4170.000,4100.000,4170.000,124591600
2025-09-25,BBRI,4170.000,4170.000,4050.000,4070.000,129656800
2025-09-26,BBRI,4050.000,4080.000,4000.000,4040.000,146229200
2025-09-29,BBRI,4040.000,4040.000,3960.000,3980.000,126611800
2025-09-30,BBRI,3980.000,3980.000,3900.000,3900.000,217357100
2025-10-01,BBRI,3860.000,3940.000,3800.000,3810.000,223133600
2025-10-02,BBRI,3760.000,3790.000,3710.000,3710.000,379620000
2025-10-03,BBRI,3710.000,3750.000,3680.000,3690.000,214737100
2025-01-02,BMRI,5700.000,5850.000,5700.000,5850.000,82914600
2025-01-03,BMRI,5850.000,5875.000,5775.000,5800.000,58067100
2025-01-06,BMRI,5825.000,5825.000,5650.000,5675.000,68443700
2025-01-07,BMRI,5600.000,5650.000,5550.000,5600.000,96982300
2025-01-08,BMRI,5600.000,5750.000,5600.000,5750.000,118246100
2025-01-09,BMRI,5725.000,5775.000,5700.000,5750.000,56491700
2025-01-10,BMRI,5750.000,5775.000,5600.000,5600.000,77751500
2025-01-13,BMRI,5500.000,5550.000,5475.000,5525.000,99953900
2025-01-14,BMRI,5425.000,5575.000,5400.000,5400.000,97351900
2025-01-15,BMRI,5475.000,5825.000,5450.000,5750.000,194025700
2025-01-16,BMRI,6075.000,6200.000,5850.000,5875.000,204359900
2025-01-17,BMRI,5800.000,6050.000,5750.000,5875.000,114054600
2025-01-20,BMRI,6000.000,6050.000,5925.000,6000.000,84338400
2025-01-21,BMRI,6100.000,6175.000,6025.000,6050.000,115355900
2025-01-22,BMRI,6150.000,6200.000,6100.000,6150.000,117929800
2025-01-23,BMRI,6200.000,6300.000,6175.000,6175.000,120893700
2025-01-24,BMRI,6250.000,6250.000,6125.000,6125.000,96161800
2025-01-30,BMRI,6100.000,6225.000,6075.000,6100.000,101400400
2025-01-31,BMRI,6175.000,6225.000,6025.000,6025.000,107861000
2025-02-03,BMRI,5975.000,6000.000,5700.000,5800.000,182181700
2025-02-04,BMRI,5825.000,5850.000,5625.000,5675.000,121871500
2025-02-05,BMRI,5600.000,5600.000,5475.000,5525.000,185656000
2025-02-06,BMRI,5425.000,5425.000,5000.000,5100.000,642118700
2025-02-07,BMRI,5000.000,5150.000,4950.000,5150.000,407896100
2025-02-10,BMRI,5150.000,5150.000,4990.000,5000.000,169384300
2025-02-11,BMRI,4750.000,4950.000,4750.000,4880.000,316743200
2025-02-12,BMRI,4920.000,4950.000,4830.000,4940.000,225073300
2025-02-13,BMRI,4940.000,5075.000,4900.000,5025.000,215271400
2025-02-14,BMRI,5100.000,5200.000,4970.000,5125.000,239709300
2025-02-17,BMRI,5200.000,5475.000,5175.000,5425.000,223837300
2025-02-18,BMRI,5450.000,5550.000,5375.000,5450.000,157430200
2025-02-19,BMRI,5375.000,5400.000,5125.000,5175.000,204335500
2025-02-20,BMRI,5125.000,5225.000,5100.000,5150.000,98363500
2025-02-21,BMRI,5000.000,5100.000,5000.000,5075.000,152528600
2025-02-24,BMRI,5050.000,5075.000,4980.000,5025.000,127578500
2025-02-25,BMRI,5000.000,5025.000,4860.000,4870.000,224607800
2025-02-26,BMRI,4860.000,4980.000,4850.000,4920.000,161836900
2025-02-27,BMRI,4930.000,4950.000,4660.000,4660.000,334919800
2025-02-28,BMRI,4620.000,4690.000,4550.000,4600.000,464696700
2025-03-03,BMRI,4750.000,4980.000,4700.000,4900.000,257118300
2025-03-04,BMRI,4900.000,4920.000,4750.000,4840.000,144346500
2025-03-05,BMRI,4860.000,5050.000,4860.000,4860.000,252222800
2025-03-06,BMRI,4910.000,4980.000,4870.000,4870.000,194909200
2025-03-07,BMRI,4870.000,4870.000,4810.000,4840.000,117916600
2025-03-10,BMRI,4730.000,4760.000,4660.000,4710.000,231152200
2025-03-11,BMRI,4650.000,4780.000,4640.000,4740.000,150738100
2025-03-12,BMRI,4750.000,4880.000,4750.000,4880.000,129973900
2025-03-13,BMRI,4940.000,4940.000,4710.000,4740.000,176286000
2025-03-14,BMRI,4640.000,4800.000,4640.000,4740.000,154331400
2025-03-17,BMRI,4740.000,4770.000,4660.000,4680.000,135692800
2025-03-18,BMRI,4680.000,4690.000,4300.000,4530.000,387565100
2025-03-19,BMRI,4530.000,4700.000,4440.000,4680.000,273084900
2025-03-20,BMRI,4760.000,4770.000,4610.000,4620.000,138209700
2025-03-21,BMRI,4600.000,4610.000,4380.000,4410.000,374396400
2025-03-24,BMRI,4350.000,4530.000,4250.000,4460.000,319017400
2025-03-25,BMRI,4500.000,4810.000,4500.000,4740.000,313034100
2025-03-26,BMRI,4980.000,5175.000,4930.000,5150.000,582172700
2025-03-27,BMRI,5150.000,5250.000,5050.000,5200.000,301025300
2025-04-08,BMRI,4500.000,4830.000,4500.000,4670.000,738455000
2025-04-09,BMRI,4630.000,4790.000,4630.000,4710.000,316821100
2025-04-10,BMRI,5200.000,5225.000,4970.000,5025.000,559966600
2025-04-11,BMRI,5000.000,5175.000,4950.000,5100.000,384964600
2025-04-14,BMRI,4650.000,4750.000,4650.000,4750.000,423716000
2025-04-15,BMRI,4800.000,4820.000,4710.000,4710.000,231012700
2025-04-16,BMRI,4740.000,4750.000,4590.000,4630.000,201708000
2025-04-17,BMRI,4630.000,4660.000,4570.000,4600.000,165381400
2025-04-21,BMRI,4600.000,4640.000,4560.000,4610.000,83034600
2025-04-22,BMRI,4610.000,4720.000,4590.000,4720.000,126426200
2025-04-23,BMRI,4780.000,4900.000,4740.000,4900.000,273395600
2025-04-24,BMRI,4950.000,5025.000,4860.000,4890.000,282970000
2025-04-25,BMRI,4960.000,4960.000,4900.000,4900.000,134208400
2025-04-28,BMRI,4950.000,4980.000,4890.000,4920.000,90697900
2025-04-29,BMRI,4930.000,4950.000,4880.000,4940.000,108857600
2025-04-30,BMRI,4900.000,4920.000,4810.000,4890.000,278360600
2025-05-02,BMRI,4980.000,4980.000,4910.000,4960.000,146800800
2025-05-05,BMRI,4990.000,5100.000,4960.000,4980.000,154073100
2025-05-06,BMRI,5025.000,5050.000,4980.000,4980.000,120165500
2025-05-07,BMRI,5050.000,5050.000,4950.000,4950.000,100674600
2025-05-08,BMRI,4960.000,5025.000,4790.000,4790.000,205199700
2025-05-09,BMRI,4790.000,4830.000,4750.000,4770.000,164014200
2025-05-14,BMRI,4890.000,5050.000,4880.000,5050.000,342468200
2025-05-15,BMRI,5075.000,5400.000,5050.000,5325.000,300147300
2025-05-16,BMRI,5425.000,5475.000,5200.000,5475.000,229382100
2025-05-19,BMRI,5450.000,5575.000,5400.000,5525.000,191440600
2025-05-20,BMRI,5500.000,5550.000,5350.000,5400.000,145525700
2025-05-21,BMRI,5400.000,5550.000,5375.000,5450.000,167239400
2025-05-22,BMRI,5450.000,5500.000,5400.000,5450.000,137585600
2025-05-23,BMRI,5500.000,5500.000,5375.000,5425.000,89691600
2025-05-26,BMRI,5425.000,5475.000,5300.000,5475.000,102960800
2025-05-27,BMRI,5500.000,5500.000,5400.000,5400.000,86083800
2025-05-28,BMRI,5400.000,5425.000,5300.000,5300.000,190669100
2025-06-02,BMRI,5200.000,5250.000,5025.000,5075.000,373474500
2025-06-03,BMRI,5100.000,5125.000,4950.000,5050.000,169321800
2025-06-04,BMRI,5125.000,5125.000,4980.000,5025.000,139577800
2025-06-05,BMRI,5050.000,5075.000,5000.000,5075.000,69179700
2025-06-10,BMRI,5075.000,5250.000,5075.000,5250.000,158265000
2025-06-11,BMRI,5300.000,5300.000,5150.000,5200.000,90666100
2025-06-12,BMRI,5225.000,5225.000,5125.000,5175.000,72423700
2025-06-13,BMRI,5175.000,5250.000,5100.000,5150.000,128071000
2025-06-16,BMRI,5150.000,5200.000,5100.000,5150.000,61695600
2025-06-17,BMRI,5175.000,5225.000,5100.000,5100.000,70657700
2025-06-18,BMRI,5075.000,5100.000,5025.000,5075.000,53353000
2025-06-19,BMRI,5050.000,5050.000,4910.000,4970.000,114769600
2025-06-20,BMRI,4940.000,4990.000,4830.000,4930.000,301154300
2025-06-23,BMRI,4870.000,4930.000,4800.000,4920.000,119439200
2025-06-24,BMRI,5050.000,5125.000,5025.000,5025.000,126563900
2025-06-25,BMRI,5025.000,5050.000,4880.000,4880.000,139963400
2025-06-26,BMRI,4950.000,5025.000,4910.000,5025.000,94704500
2025-06-30,BMRI,5050.000,5050.000,4880.000,4880.000,220479900
2025-07-01,BMRI,4900.000,4910.000,4710.000,4750.000,319907500
2025-07-02,BMRI,4730.000,4770.000,4710.000,4770.000,159152200
2025-07-03,BMRI,4780.000,4850.000,4720.000,4740.000,103849000
2025-07-04,BMRI,4750.000,4790.000,4700.000,4740.000,104170500
2025-07-07,BMRI,4740.000,4750.000,4680.000,4740.000,120538300
2025-07-08,BMRI,4710.000,4750.000,4700.000,4720.000,132853800
2025-07-09,BMRI,4720.000,4760.000,4670.000,4710.000,110198500
2025-07-10,BMRI,4750.000,4830.000,4730.000,4820.000,160889700
2025-07-11,BMRI,4850.000,4990.000,4830.000,4970.000,219980300
2025-07-14,BMRI,4980.000,4990.000,4670.000,4690.000,429438700
2025-07-15,BMRI,4700.000,4740.000,4690.000,4700.000,206958200
2025-07-16,BMRI,4730.000,4760.000,4680.000,4690.000,323831100
2025-07-17,BMRI,4700.000,4720.000,4680.000,4720.000,120304000
2025-07-18,BMRI,4760.000,4810.000,4720.000,4740.000,161262400
2025-07-21,BMRI,4770.000,4770.000,4680.000,4680.000,103387400
2025-07-22,BMRI,4680.000,4710.000,4650.000,4660.000,132984400
2025-07-23,BMRI,4660.000,4690.000,4660.000,4680.000,115298400
2025-07-24,BMRI,4690.000,4840.000,4680.000,4800.000,273623100
2025-07-25,BMRI,4800.000,4800.000,4690.000,4690.000,88471700
2025-07-28,BMRI,4730.000,4750.000,4690.000,4700.000,112048900
2025-07-29,BMRI,4700.000,4720.000,4690.000,4710.000,74422700
2025-07-30,BMRI,4710.000,4720.000,4620.000,4620.000,141263400
2025-07-31,BMRI,4610.000,4640.000,4510.000,4510.000,155903600
2025-08-01,BMRI,4570.000,4610.000,4510.000,4530.000,157949900
2025-08-04,BMRI,4530.000,4630.000,4510.000,4620.000,174404800
2025-08-05,BMRI,4690.000,4780.000,4660.000,4750.000,277668300
2025-08-06,BMRI,4750.000,4750.000,4690.000,4700.000,79277900
2025-08-07,BMRI,4740.000,4740.000,4680.000,4680.000,61453100
2025-08-08,BMRI,4680.000,4700.000,4660.000,4670.000,71516700
2025-08-11,BMRI,4710.000,4780.000,4700.000,4720.000,105204200
2025-08-12,BMRI,4770.000,4920.000,4750.000,4910.000,301599000
2025-08-13,BMRI,4930.000,4970.000,4860.000,4870.000,180844900
2025-08-14,BMRI,4910.000,4930.000,4840.000,4850.000,109457100
2025-08-15,BMRI,4890.000,4930.000,4850.000,4850.000,126685400
2025-08-19,BMRI,4860.000,4870.000,4780.000,4800.000,116454000
2025-08-20,BMRI,4790.000,4950.000,4780.000,4950.000,144622900
2025-08-21,BMRI,4950.000,4950.000,4860.000,4900.000,132019200
2025-08-22,BMRI,4920.000,4920.000,4870.000,4890.000,73104500
2025-08-25,BMRI,4950.000,4980.000,4920.000,4950.000,149580800
2025-08-26,BMRI,4950.000,4950.000,4860.000,4900.000,308891700
2025-08-27,BMRI,4840.000,4880.000,4800.000,4800.000,113576300
2025-08-28,BMRI,4790.000,4850.000,4770.000,4770.000,111707400
2025-08-29,BMRI,4720.000,4750.000,4660.000,4730.000,176485100
2025-09-01,BMRI,4550.000,4670.000,4460.000,4600.000,320335300
2025-09-02,BMRI,4610.000,4670.000,4560.000,4570.000,150045600
2025-09-03,BMRI,4620.000,4660.000,4570.000,4620.000,131617900
2025-09-04,BMRI,4630.000,4680.000,4620.000,4680.000,88735300
2025-09-08,BMRI,4750.000,4750.000,4460.000,4490.000,200234500
2025-09-09,BMRI,4450.000,4480.000,4310.000,4310.000,509366600
2025-09-10,BMRI,4360.000,4420.000,4350.000,4400.000,294295600
2025-09-11,BMRI,4480.000,4540.000,4450.000,4480.000,366697800
2025-09-12,BMRI,4500.000,4550.000,4480.000,4520.000,216960200
2025-09-15,BMRI,4550.000,4640.000,4520.000,4530.000,231346000
2025-09-16,BMRI,4570.000,4570.000,4460.000,4480.000,122027400
2025-09-17,BMRI,4480.000,4520.000,4440.000,4510.000,232702500
2025-09-18,BMRI,4540.000,4550.000,4420.000,4420.000,177560100
2025-09-19,BMRI,4350.000,4420.000,4330.000,4380.000,235975900
2025-09-22,BMRI,4410.000,4420.000,4360.000,4420.000,107176100
2025-09-23,BMRI,4390.000,4430.000,4370.000,4410.000,90675500
2025-09-24,BMRI,4410.000,4430.000,4390.000,4390.000,85439100
2025-09-25,BMRI,4400.000,4410.000,4360.000,4360.000,73946900
2025-09-26,BMRI,4350.000,4430.000,4350.000,4420.000,86572900
2025-09-29,BMRI,4420.000,4430.000,4400.000,4400.000,63753600
2025-09-30,BMRI,4420.000,4450.000,4380.000,4400.000,108639600
2025-10-01,BMRI,4360.000,4400.000,4350.000,4380.000,92265100
2025-10-02,BMRI,4410.000,4440.000,4360.000,4360.000,93387400
2025-10-03,BMRI,4370.000,4380.000,4300.000,4310.000,102459100
